Q2 beta x xp*sigmaD(3) dstat dsys dtot
200.0 0.2 0.00500 0.0331 5.6 11.3 12.6
200.0 0.2 0.00800 0.0269 7.5 17.1 18.6
200.0 0.4 0.00320 0.0339 8.9 6.9 11.2
200.0 0.4 0.00500 0.0318 7.0 7.6 10.3
200.0 0.4 0.00800 0.0324 7.2 8.1 10.8
200.0 0.4 0.01300 0.0379 7.4 13.1 15.1
200.0 0.4 0.02000 0.0376 10.0 22.0 24.1
200.0 0.65 0.00320 0.0289 11.3 6.5 13.0
200.0 0.65 0.00500 0.0318 8.6 7.0 11.1
200.0 0.65 0.00800 0.0254 9.0 7.1 11.4
200.0 0.65 0.01300 0.0235 9.4 8.6 12.8
200.0 0.65 0.02000 0.0314 9.2 14.2 16.9
200.0 0.65 0.03200 0.0292 11.6 23.5 26.2
200.0 0.9 0.00320 0.0211 19.7 11.7 22.9
200.0 0.9 0.00500 0.0107 19.9 10.6 22.5
200.0 0.9 0.00800 0.0162 17.5 6.4 18.6
200.0 0.9 0.01300 0.0062 24.0 9.6 25.9
200.0 0.9 0.02000 0.0048 29.9 15.3 33.6
200.0 0.9 0.03200 0.0050 29.1 22.6 36.8
400.0 0.2 0.00800 0.0285 11.3 18.3 21.5
400.0 0.4 0.00800 0.0370 10.3 9.8 14.2
400.0 0.4 0.01300 0.0291 10.2 13.4 16.8
400.0 0.4 0.02000 0.0327 11.9 23.1 26.0
400.0 0.65 0.00800 0.0250 14.7 8.0 16.7
400.0 0.65 0.01300 0.0279 10.5 8.5 13.5
400.0 0.65 0.02000 0.0336 9.7 13.4 16.6
400.0 0.65 0.03200 0.0262 12.3 25.4 28.2
400.0 0.9 0.00800 0.0105 32.8 10.8 34.5
400.0 0.9 0.01300 0.0113 26.9 9.6 28.5
400.0 0.9 0.02000 0.0052 30.0 14.0 33.1
400.0 0.9 0.03200 0.0055 30.3 21.6 37.2
800.0 0.4 0.01300 0.0392 18.9 16.5 25.0
800.0 0.4 0.02000 0.0283 20.5 24.9 32.3
800.0 0.65 0.01300 0.0326 20.6 9.6 22.7
800.0 0.65 0.02000 0.0251 18.6 14.7 23.7
800.0 0.65 0.03200 0.0295 18.0 23.7 29.8
800.0 0.9 0.01300 0.0097 72.1 25.2 76.4
800.0 0.9 0.02000 0.0058 49.2 16.1 51.7
800.0 0.9 0.03200 0.0067 47.5 21.3 52.1
1600.0 0.4 0.02000 0.0295 38.2 26.4 46.5
1600.0 0.65 0.02000 0.0244 34.9 14.1 37.7
1600.0 0.65 0.03200 0.0112 44.3 29.2 53.1
